all value,temp_1,temp_2,temp_3,temp_4,Average value,actual
"[130.47378614157, 129.383228089507, 128.56530955046, 128.428989793952, 128.837949063475, 129.451387967761, 129.519547846015, 129.383228089507, 129.383228089507, 129.655867602523]",130.47378614157,129.383228089507,128.56530955046,128.428989793952,129.3082522234277,130.269306506808
"[130.541946019824, 130.269306506808, 130.1329867503, 130.337466385062, 131.223544802363, 132.314102854426, 131.905143584903, 130.201146628554, 128.769789185221, 128.906108941729]",130.541946019824,130.269306506808,130.1329867503,130.337466385062,130.460154165919,129.724027480777
"[129.928507115538, 131.905143584903, 136.131056036647, 141.583846296962, 144.651040818389, 145.946078505214, 148.399834122355, 152.557586695845, 156.033740486796, 156.851659025843]",129.928507115538,131.905143584903,136.131056036647,141.583846296962,144.3988492688492,157.601417686637
"[158.555655982192, 159.918853547271, 161.350210990603, 161.350210990603, 159.509894277747, 160.25965293854, 161.350210990603, 161.213891234095, 160.94125172108, 160.395972695048]",158.555655982192,159.918853547271,161.350210990603,161.350210990603,160.4845805367782,159.782533790763
"[159.782533790763, 159.850693669017, 159.578054156001, 159.782533790763, 160.055173303778, 160.464132573302, 161.691010381873, 162.304449286158, 162.099969651397, 161.759170260127]",159.782533790763,159.850693669017,159.578054156001,159.782533790763,160.7367720863179,160.736772086318
"[158.896455373462, 157.533257808383, 156.647179391082, 156.510859634574, 156.579019512828, 156.579019512828, 156.919818904097, 158.896455373462, 159.782533790763, 159.850693669017]",158.896455373462,157.533257808383,156.647179391082,156.510859634574,157.81952929704957,160.532292451556
"[160.736772086318, 160.532292451556, 160.395972695048, 162.236289407904, 164.41740551203, 164.281085755523, 161.895490016635, 159.578054156001, 159.987013425525, 160.395972695048]",160.736772086318,160.532292451556,160.395972695048,162.236289407904,161.4456348201588,160.532292451556
"[160.395972695048, 160.055173303778, 159.918853547271, 160.327812816794, 161.009411599334, 163.054207946952, 167.143800642188, 171.301553215678, 173.891628589328, 173.823468711074]",160.395972695048,160.055173303778,159.918853547271,160.327812816794,165.0921883067445,173.550829198058
"[173.959788467582, 175.118506397898, 175.32298603266, 175.459305789168, 176.754343475993, 179.889697875674, 182.888732518847, 184.524569596942, 184.729049231704, 185.069848622973]",173.959788467582,175.118506397898,175.32298603266,175.459305789168,179.37168280094411,185.955927040274
"[186.91016533583, 188.205203022654, 189.977359857257, 190.999758031066, 191.408717300589, 191.136077787574, 191.06791790932, 191.681356813605, 192.97639450043, 193.794313039477]",186.91016533583,188.205203022654,189.977359857257,190.999758031066,190.81572635978017,193.180874135192
"[192.63559510916, 195.157510604556, 197.883905734713, 199.587902691062, 199.928702082331, 201.496379282172, 202.518777455981, 200.951100256141, 201.360059525664, 201.769018795188]",192.63559510916,195.157510604556,197.883905734713,199.587902691062,199.3288951536968,199.519742812808
"[198.020225491221, 198.633664395507, 201.360059525664, 204.222774412329, 208.176047351058, 214.174116637404, 222.489621784385, 228.487691070731, 230.191688027079, 232.713603522475]",198.020225491221,198.633664395507,201.360059525664,204.222774412329,213.84694922178528,234.144960965808
"[234.0086412093, 235.371838774379, 236.598716582949, 237.143995608981, 237.893754269774, 238.302713539298, 238.370873417552, 239.597751226123, 240.75646915644, 242.051506843264]",234.0086412093,235.371838774379,236.598716582949,237.143995608981,238.009626062806,245.323180999453
"[249.003814425166, 252.207328703101, 252.888927485641, 253.025247242148, 253.093407120402, 254.388444807227, 254.252125050719, 253.093407120402, 252.275488581355, 251.253090407546]",249.003814425166,252.207328703101,252.888927485641,253.025247242148,252.54812809437072,250.162532355483
"[249.889892842467, 249.685413207706, 249.549093451198, 249.41277369469, 250.026212598975, 251.798369433578, 255.615322615798, 258.137238111194, 260.250194337066, 263.112909223731]",249.889892842467,249.685413207706,249.549093451198,249.41277369469,253.7477419516403,261.88603141516
"[259.295956041511, 259.841235067542, 260.045714702304, 260.113874580558, 260.31835421532, 260.454673971828, 262.363150562938, 267.543301310237, 270.951295222934, 273.13241132706]",259.295956041511,259.841235067542,260.045714702304,260.113874580558,263.4059967002232,274.563768770392
"[275.654326822455, 276.131445970233, 275.858806457217, 274.495608892139, 273.405050840076, 273.268731083568, 273.200571205314, 274.086649622615, 275.926966335471, 277.494643535312]",275.654326822455,276.131445970233,275.858806457217,274.495608892139,274.95228007644,279.266800369914
"[281.379756595786, 283.765352334674, 285.60566904753, 286.491747464831, 287.037026490863, 287.786785151656, 288.741023447211, 289.695261742766, 289.149982716735, 288.059424664672]",281.379756595786,283.765352334674,285.60566904753,286.491747464831,286.7712029656724,288.19574442118
"[289.013662960227, 290.036061134036, 290.990299429591, 292.421656872924, 296.102290298636, 304.690434958633, 302.57747873276, 297.192848350699, 296.51124956816, 298.692365672286]",289.013662960227,290.036061134036,290.990299429591,292.421656872924,295.8228347977952,299.442124333079
"[295.625171150859, 295.284371759589, 299.033165063556, 306.394431914981, 310.552184488471, 314.028338279422, 319.004009391959, 325.138398434814, 329.705110277827, 331.545426990684]",295.625171150859,295.284371759589,299.033165063556,306.394431914981,312.63106077521616,334.135502364333
"[337.475336398776, 340.951490189727, 340.815170433219, 339.997251894172, 339.247493233378, 337.407176520522, 336.043978955443, 336.452938224967, 342.04204824179, 345.177402641471]",337.475336398776,340.951490189727,340.815170433219,339.997251894172,339.56102867334647,344.495803858932
